id_municipio,ano,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,indice_consumo_agua_per_capita,extensao_rede_agua,extensao_rede_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,investimento_total_municipio,indice_saneamento_0_100,ranking_saneamento,prioridade_intervencao,investimento_norm_0_1,risco_saneamento_baixo_investimento
3506201,2022,96.66,96.05,100.0,100.0,18.26,157.8,15.09,16.03,1034.0,1029.0,0.0,95.78052037884989,36.0,608.0,0.0,0.04219479621150113
3506508,2022,100.0,90.14,80.0,100.0,47.96,229.3,473.34,465.26,52369.0,50730.0,115603.1,86.57244529963425,302.0,342.0,0.004357116976793571,0.13369049273823963
3507308,2022,91.22,91.11,100.0,100.0,19.34,180.8,30.31,22.98,1900.0,1896.0,0.0,92.84969357887161,117.0,527.0,0.0,0.07150306421128394
3511508,2022,98.5,98.5,82.41,100.0,32.58,160.1,326.0,254.93,17958.0,17442.0,1275372.47,90.83009065859883,180.0,464.0,0.04806918707865229,0.08729119253775068
3533809,2022,73.33,63.18,97.18,100.0,23.06,187.0,20.22,16.84,1094.0,933.0,0.0,79.45687644137979,425.0,219.0,0.0,0.20543123558620213
3540200,2022,99.78,99.78,96.84,100.0,16.71,233.3,120.0,120.0,12606.0,12556.0,205542.0,97.0333531277142,20.0,624.0,0.0077469422328995,0.02943664430340795
3542008,2022,96.49,94.03,97.95,100.0,13.43,163.0,30.24,32.8,2871.0,2775.0,0.0,95.30248005038169,47.0,597.0,0.0,0.04697519949618312
3545100,2022,92.05,89.73,99.99,100.0,17.86,154.3,20.69,22.37,1901.0,1875.0,0.0,92.90222443608978,114.0,530.0,0.0,0.07097775563910214
3554102,2022,92.78,90.8,85.61,100.0,29.64,170.0,968.83,657.05,103515.0,99163.0,0.0,88.38825010008661,255.0,389.0,0.0,0.11611749899913393
3556602,2022,83.23,83.23,76.19,94.7,53.43,142.2,37.2,37.2,3342.0,3342.0,115850.31,77.32242035035188,448.0,196.0,0.004366434398971982,0.22578559485780478
3503109,2022,57.17,56.86,99.99,100.0,33.96,183.7,23.36,28.32,2149.0,2134.0,0.0,72.66183956284921,506.0,138.0,0.0,0.27338160437150794
3511102,2022,96.73,96.73,100.0,96.27,17.69,242.8,500.0,500.0,54056.0,52024.0,0.0,95.21868675674779,50.0,594.0,0.0,0.047813132432522165
3516804,2022,83.98,83.06,100.0,100.0,15.46,144.3,23.9,15.04,1365.0,1352.0,0.0,89.22435164374491,220.0,424.0,0.0,0.10775648356255085
3538808,2022,87.76,86.75,100.0,100.0,28.96,168.9,171.15,149.69,12448.0,12199.0,0.0,89.56125475949071,211.0,433.0,0.0,0.10438745240509295
3544400,2022,92.33,90.11,99.97,100.0,16.55,145.6,21.29,20.37,1095.0,1081.0,0.0,93.23638234797329,102.0,542.0,0.0,0.0676361765202671
3553302,2022,89.02,89.02,99.91,100.0,2.71,446.9,188.0,186.0,9252.0,9246.0,359944.95,93.73402153337513,86.0,558.0,0.013566437685114958,0.06180971460221139
3553807,2022,81.55,84.74,100.0,100.0,17.6,148.8,136.16,87.34,8721.0,8508.0,0.0,88.72105316152592,245.0,399.0,0.0,0.1127894683847408
3554300,2022,84.77,84.22,97.88,100.0,19.57,161.1,82.45,74.27,8591.0,8521.0,0.0,88.71505584149412,246.0,398.0,0.0,0.11284944158505883
3503406,2022,64.48,58.23,93.42,100.0,24.05,225.0,48.64,35.94,3231.0,2896.0,0.0,74.66285828037061,485.0,159.0,0.0,0.25337141719629386
3512704,2022,69.27,60.1,80.0,100.0,23.0,308.1,23.0,20.0,1583.0,1193.0,0.0,73.31159193315612,496.0,148.0,0.0,0.2668840806684387
3514304,2022,94.44,92.69,98.06,100.0,29.26,183.2,44.5,36.81,3885.0,3805.0,0.0,92.44885901625035,127.0,517.0,0.0,0.07551140983749649
3521606,2022,70.5,70.5,63.75,100.0,46.12,278.4,38.61,38.61,2612.0,2478.0,30451.02,69.4988673413659,540.0,104.0,0.0011477084628585268,0.30466126250555015
3525508,2022,67.26,63.27,71.97,97.85,19.61,191.7,88.9,41.13,4565.0,4162.0,0.0,71.54652083026556,516.0,128.0,0.0,0.2845347916973444
3525854,2022,99.87,99.87,72.22,100.0,16.67,160.0,33.9,11.82,1043.0,669.0,262173.0,91.03462317925619,173.0,471.0,0.009881382325879677,0.0887678650468246
3532157,2022,88.68,88.68,80.0,100.0,38.0,196.3,18.0,18.0,994.0,1095.0,0.0,84.2820086617615,352.0,292.0,0.0,0.15717991338238502
3534104,2022,94.45,94.17,100.0,100.0,16.95,154.3,31.33,29.54,2425.0,2395.0,0.0,94.83967285757923,59.0,585.0,0.0,0.05160327142420773
3536406,2022,94.78,46.41,34.37,94.55,0.0,290.7,62.0,50.0,3380.0,1370.0,0.0,67.2604565288179,557.0,87.0,0.0,0.327395434711821
3553104,2022,100.0,100.0,93.53,100.0,20.71,204.2,25.0,27.0,2200.0,2200.0,0.0,95.84219309340234,34.0,610.0,0.0,0.04157806906597661
3555901,2022,63.81,63.09,99.95,100.0,10.13,212.6,9.87,6.17,571.0,568.0,0.0,79.07216174236488,429.0,215.0,0.0,0.20927838257635112
3501152,2022,74.89,56.73,61.01,100.0,43.87,163.4,60.2,35.15,5410.0,3886.0,0.0,66.74085336125741,561.0,83.0,0.0,0.33259146638742587
3502101,2022,92.84,91.9,34.81,100.0,28.41,178.7,326.0,316.0,23645.0,24354.0,0.0,76.35592540780583,464.0,180.0,0.0,0.23644074592194175
